"year","barkbeetle","wind","landscape_volume_yearstart","impact","relimpact","model","mgm","rcp","windcase"
99,11.6570245618332,2.23848859210198,436.290693014411,13.8955131539352,3.18492082834235,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
100,6.73980912799711,0,430.997679519201,6.73980912799711,1.56376923781021,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w8"
1,0.0108346887993508,0.41169441953596,310.278827503739,0.422529108335311,0.136177228634854,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
2,0.0597835763963514,1.32071823106503,299.658941105151,1.38050180746138,0.460691011711531,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
3,0.267052442387546,4.33532252044082,272.130529616406,4.60237496282837,1.69123801335919,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
4,0.653137436574512,0,270.688764990682,0.653137436574512,0.241287235026912,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
5,1.40769222305242,0,282.754580838624,1.40769222305242,0.497849484481324,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
6,4.40788545933025,0,295.757918498062,4.40788545933025,1.49036938105146,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
7,2.14470571289462,0,288.5086633667,2.14470571289462,0.743376537767485,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
8,0.842013670743226,0,290.173707804474,0.842013670743226,0.290175728571037,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
9,0.757057697883873,16.3259742459376,288.618116801998,17.0830319438215,5.91890492984577,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
10,1.27464344951988,4.73004113193941,281.872365161625,6.00468458145929,2.13028495291343,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
11,2.34746633059231,0.208763979078618,280.547279537931,2.55623030967092,0.911158473495486,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
12,4.2971059367069,11.3140488364353,286.938112780258,15.6111547731422,5.44059993351162,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
13,3.0936643561264,0,282.347001656524,3.0936643561264,1.09569584163315,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
14,3.0362273999092,0,278.677065564943,3.0362273999092,1.08951463004466,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
15,1.88249299552503,0.516588145811255,270.936516287155,2.39908114133629,0.885477223304074,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
16,1.28016482994385,0,264.871674975693,1.28016482994385,0.483315111010389,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
17,0.697372441627775,0,251.823222831817,0.697372441627775,0.276929360916616,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
18,0.515861417992363,0,264.64614324584,0.515861417992363,0.194924971006722,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
19,0.504875773692064,0,266.055586243155,0.504875773692064,0.189763267451428,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
20,0.215333851447853,0,260.876904642142,0.215333851447853,0.0825423207712609,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
21,0.266813820126993,0,253.374820398637,0.266813820126993,0.105303999705737,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
22,0.580705827032924,3.24030709564867,243.457409740038,3.82101292268159,1.56947900117793,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
23,0.594075649961399,0,237.007778042468,0.594075649961399,0.250656604972243,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
24,0.98836098394063,0,252.373458707901,0.98836098394063,0.391626357621292,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
25,1.10862329252433,0,266.652804915009,1.10862329252433,0.415755346311728,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
