"year","barkbeetle","wind","landscape_volume_yearstart","impact","relimpact","model","mgm","rcp","windcase"
32,0.326871796103567,0,263.290862398622,0.326871796103567,0.124148553096645,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
33,0.350774002798968,0,261.865398873383,0.350774002798968,0.13395202432551,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
34,0.363183349243432,0,269.663109293989,0.363183349243432,0.134680398143554,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
35,0.567949892588586,4.37512786851998,261.718151685976,4.94307776110857,1.88870268617805,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
36,0.667951481504182,0,241.907508767035,0.667951481504182,0.276118540060467,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
37,0.499438497890307,0,245.20808626957,0.499438497890307,0.203679456696729,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
38,0.996189470861682,3.55500137959491,258.124904352325,4.55119085045659,1.763173864171,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
39,1.24611308763284,0,253.763079266198,1.24611308763284,0.491053738485597,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
40,0.947397880922106,0,268.037897366539,0.947397880922106,0.353456690352465,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
41,0.582685419659407,0,272.377733887483,0.582685419659407,0.213925496531265,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
42,1.21242211095708,0,274.126798861886,1.21242211095708,0.442285145411098,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
43,0.271087264559135,0,276.264745955042,0.271087264559135,0.0981258986274169,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
44,0.295471293329372,14.0443298241042,279.646185518199,14.3398011174336,5.12783719572687,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
45,0.717501704371631,0,266.10029648008,0.717501704371631,0.269635815466046,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
46,3.14505571081498,0,281.152704078949,3.14505571081498,1.11862901020928,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
47,4.25740986703078,0,273.497607753392,4.25740986703078,1.55665342084806,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
48,4.59874640123594,0.44226601418514,280.279554446352,5.04101241542108,1.79856587305442,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
49,1.74594943282187,0,279.647686116519,1.74594943282187,0.624338952010637,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
50,1.11045655430492,92.1714073874286,278.417215521201,93.2818639417335,33.5043448254838,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
51,2.45248931979298,0,188.521550147862,2.45248931979298,1.30090661670744,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
52,6.52322940679706,0,197.055770331415,6.52322940679706,3.3103468098529,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
53,11.9106724409062,0,193.494513172208,11.9106724409062,6.15556081960106,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
54,13.5062756241014,0,189.911950879625,13.5062756241014,7.11186187153766,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
55,2.83161136482236,0,182.097500462146,2.83161136482236,1.55499738197175,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
56,0.146804588717093,0,182.790566185756,0.146804588717093,0.0803130007091865,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
57,0.0977900264653293,0.0643570259651849,180.549921071647,0.162147052430514,0.0898073239069266,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
58,0.129744943844289,0,188.193483330668,0.129744943844289,0.0689423148708706,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
59,0.220855971964439,1.95418876558481,189.591217818977,2.17504473754925,1.14722863356783,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
60,0.385054352752708,2.1726595084942,190.566142237534,2.5577138612469,1.34216594365373,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
61,0.667803783023523,0.0483363522299791,188.376899735249,0.716140135253502,0.380163457547071,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
62,0.559333293996713,0,196.295681611284,0.559333293996713,0.284944268465537,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
63,0.956867735505891,0,201.908305268677,0.956867735505891,0.473912023694418,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
64,0.707304230412185,0,213.455322898477,0.707304230412185,0.331359378069288,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
65,0.311181986398824,0,226.082871448515,0.311181986398824,0.137640673265107,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
66,0.334926302017832,0,230.169563612515,0.334926302017832,0.145512854419654,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
67,0.221869595523539,0,236.729706515879,0.221869595523539,0.0937227519050959,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
68,0.152610483585044,0,243.667860142763,0.152610483585044,0.0626305346530441,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
69,0.284592590979929,0,254.62542867176,0.284592590979929,0.111769116095156,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
70,0.501373812499411,0.369107839374028,252.931785188781,0.870481651873438,0.344156686840974,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
71,0.874182454707824,0,263.311596676685,0.874182454707824,0.331995425093721,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
72,0.798172651625011,0,269.743658950005,0.798172651625011,0.295900431814394,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
73,1.0297240131373,0,283.348429131138,1.0297240131373,0.363412642270455,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
74,0.253060251749628,0,280.133552859318,0.253060251749628,0.090335573574335,"EC-EARTH_RACMO22E-r1","BAU","rcp45","w9"
