"","mgm","model","windcase","rcp","wind.damaged.vol","landscape_volume_yearstart","rt","impact","auc","norm.auc","one.minus.norm.auc"
"116","BIOECONOMY","MPI_CCLM","w7","rcp85",62.9975905279002,255.782050346594,25,24.6294024316938,-379.580010066913,0.0759160020133825,0.924083997986617
"117","BIOECONOMY","MPI_CCLM","w8","rcp45",66.7714237673987,259.296587084341,26,25.7509844299185,-377.114908743161,0.0754229817486322,0.924577018251368
"118","BIOECONOMY","MPI_CCLM","w8","rcp85",63.0279708493275,253.321298159066,25,24.8806441887689,-393.298795278835,0.0786597590557669,0.921340240944233
"119","BIOECONOMY","MPI_CCLM","w9","rcp45",69.5654732607512,254.521395531285,26,27.3318764088736,-378.723388216327,0.0757446776432653,0.924255322356735
"120","BIOECONOMY","MPI_CCLM","w9","rcp85",66.2474495519755,248.186240244295,24,26.6926359361287,-390.107632902348,0.0780215265804696,0.92197847341953
"121","BIOECONOMY","NCC_HIRHAM5","w5","rcp45",68.59521793755,297.278262348948,50,23.074414319952,-1012.89775808017,0.202579551616034,0.797420448383966
"122","BIOECONOMY","NCC_HIRHAM5","w5","rcp85",61.2632568830582,273.534600616187,23,22.3968948517122,-450.023338623368,0.0900046677246737,0.909995332275326
"123","BIOECONOMY","NCC_HIRHAM5","w6","rcp45",67.7074404691514,293.103741898992,50,23.1001624307084,-934.178868348924,0.186835773669785,0.813164226330215
"124","BIOECONOMY","NCC_HIRHAM5","w6","rcp85",61.1185001829497,270.304338224893,23,22.6109949194005,-440.685726090053,0.0881371452180107,0.911862854781989
"125","BIOECONOMY","NCC_HIRHAM5","w7","rcp45",69.0243478984144,297.618715414727,50,23.1922067811596,-1007.06175859531,0.201412351719061,0.798587648280939
"126","BIOECONOMY","NCC_HIRHAM5","w7","rcp85",61.9616393590168,273.536627367966,23,22.6520447938641,-444.317848957313,0.0888635697914626,0.911136430208537
"127","BIOECONOMY","NCC_HIRHAM5","w8","rcp45",68.4333424942927,294.777432705792,50,23.2152583276597,-947.08936583102,0.189417873166204,0.810582126833796
"128","BIOECONOMY","NCC_HIRHAM5","w8","rcp85",61.2780290748171,271.220583069746,24,22.5934287070901,-469.578837317875,0.093915767463575,0.906084232536425
"129","BIOECONOMY","NCC_HIRHAM5","w9","rcp45",68.7469505736491,292.887439688519,50,23.472140234747,-984.840928765486,0.196968185753097,0.803031814246903
"130","BIOECONOMY","NCC_HIRHAM5","w9","rcp85",64.8333307651171,268.097306885284,23,24.1827609230176,-446.573782968462,0.0893147565936924,0.910685243406308
"131","BIOECONOMY","refclim","w5","-",69.8696697723997,281.025220883254,23,24.8624196621219,-260.768020455196,0.0521536040910392,0.947846395908961
"132","BIOECONOMY","refclim","w6","-",70.2750442267359,278.015797830323,23,25.2773564578606,-271.615743021987,0.0543231486043975,0.945676851395603
"133","BIOECONOMY","refclim","w7","-",71.5069732281445,280.341394651519,23,25.5071047631164,-287.122873887495,0.057424574777499,0.942575425222501
"134","BIOECONOMY","refclim","w8","-",69.4438172830354,275.976332871466,23,25.1629610990513,-273.877147161271,0.0547754294322542,0.945224570567746
"135","BIOECONOMY","refclim","w9","-",74.5637214011494,277.638928410181,23,26.8563640654129,-303.314529927612,0.0606629059855223,0.939337094014478
"136","CONSERVATION","EC-EARTH_RACMO22E-r1","w5","rcp45",120.262456176561,346.370295974983,34,34.7207764563182,-746.693899563994,0.149338779912799,0.850661220087201
"137","CONSERVATION","EC-EARTH_RACMO22E-r1","w5","rcp85",127.43225591671,374.333920440029,31,34.0424014385108,-704.796916679135,0.140959383335827,0.859040616664173
"138","CONSERVATION","EC-EARTH_RACMO22E-r1","w6","rcp45",113.841613623834,327.192091016553,32,34.7935102190701,-652.681917182901,0.13053638343658,0.86946361656342
"139","CONSERVATION","EC-EARTH_RACMO22E-r1","w6","rcp85",121.50361757609,350.32466427836,26,34.683146796523,-603.977697842276,0.120795539568455,0.879204460431545
"140","CONSERVATION","EC-EARTH_RACMO22E-r1","w7","rcp45",111.577728620686,328.47385436203,32,33.9685266084252,-655.014582950849,0.13100291659017,0.86899708340983
"141","CONSERVATION","EC-EARTH_RACMO22E-r1","w7","rcp85",125.849346739904,367.911113549577,28,34.2064542507889,-714.211530153967,0.142842306030793,0.857157693969207
"142","CONSERVATION","EC-EARTH_RACMO22E-r1","w8","rcp45",109.119985213943,332.551078895475,33,32.8129999085768,-649.848563983988,0.129969712796798,0.870030287203203
"143","CONSERVATION","EC-EARTH_RACMO22E-r1","w8","rcp85",118.240482749116,361.998312007555,28,32.6632690891245,-646.420914036709,0.129284182807342,0.870715817192658
