"year","total_carbon_kg","volume_m3","TC_49","VOL_49","Perc_Diff_TC","Perc_Diff_VOL","recovery_year_total_carbon","recovery_year_volume","year_after_impact","model","mgm","rcp","windcase"
72,187563.62539656,459.017289727853,168372.355362264,417.899770128385,11.3981122334512,9.83908643616526,51,51,23,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
73,187035.806473589,456.75683192189,168372.355362264,417.899770128385,11.0846291074146,9.29817735519864,51,51,24,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
74,189634.784787319,463.746549535233,168372.355362264,417.899770128385,12.6282187947708,10.9707596615243,51,51,25,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
75,192300.759401116,470.686142289522,168372.355362264,417.899770128385,14.2115990403343,12.6313474986885,51,51,26,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
76,193732.78302644,473.994153458839,168372.355362264,417.899770128385,15.0621089843469,13.4229275391131,51,51,27,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
77,179798.749445096,442.866269196966,168372.355362264,417.899770128385,6.78638370191328,5.97427920597108,51,51,28,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
78,183847.63838412,449.170289447773,168372.355362264,417.899770128385,9.19110681118674,7.48277973682087,51,51,29,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
79,188170.782789961,460.682013149516,168372.355362264,417.899770128385,11.7587162008271,10.2374411471889,51,51,30,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
80,191013.266889298,466.783970492837,168372.355362264,417.899770128385,13.4469292647958,11.6975896754941,51,51,31,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
81,195281.336600924,478.764798950931,168372.355362264,417.899770128385,15.9818285969595,14.5645040206283,51,51,32,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
82,199122.534036106,488.350343283333,168372.355362264,417.899770128385,18.2631992096812,16.8582464482582,51,51,33,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
83,203292.609072569,499.230127724853,168372.355362264,417.899770128385,20.739897375179,19.4616899577335,51,51,34,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
84,205749.792356999,504.648482007753,168372.355362264,417.899770128385,22.1992719139168,20.758257859945,51,51,35,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
85,210001.818931119,516.980645822468,168372.355362264,417.899770128385,24.7246428781535,23.7092438848778,51,51,36,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
86,214632.753812945,528.817170377766,168372.355362264,417.899770128385,27.4750557187068,26.5416274852951,51,51,37,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
87,218271.081295394,538.018374155358,168372.355362264,417.899770128385,29.6359374588366,28.7434003589115,51,51,38,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
88,222343.520637015,549.11842306958,168372.355362264,417.899770128385,32.054647663881,31.3995513567482,51,51,39,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
89,222222.746361291,548.384806320867,168372.355362264,417.899770128385,31.9829171975201,31.2240028637476,51,51,40,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
90,224394.662224266,554.277646122982,168372.355362264,417.899770128385,33.2728652167791,32.6341112733082,51,51,41,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
91,227216.556621922,561.855574873273,168372.355362264,417.899770128385,34.9488496095757,34.447447697964,51,51,42,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
92,230957.855075592,572.168975096011,168372.355362264,417.899770128385,37.1708880467174,36.9153600922613,51,51,43,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
93,235685.035176511,584.969227747774,168372.355362264,417.899770128385,39.9784630139665,39.9783559507731,51,51,44,"EC-EARTH_RACMO22E-r1","UNMANAGED","rcp45","w8"
