model,rcp,mgm,windcase,score,resilience,score_01,res_01,dist
HadGEM2_CCLM,rcp85,BIOECONOMY,w7,2.5195709800168,0.940599587006247,0.6298927450042,0.940599587006247,0.374843686440568
HadGEM2_CCLM,rcp85,BIOECONOMY,w8,2.54296671137625,0.946716587208002,0.635741677844063,0.946716587208002,0.368134822230418
HadGEM2_CCLM,rcp85,BIOECONOMY,w9,2.50624487261509,0.944467337072677,0.626561218153773,0.944467337072677,0.377545229659433
HadGEM2_CCLM,rcp85,CONSERVATION,w5,2.53855560994494,0.89181735044548,0.634638902486235,0.89181735044548,0.381040965305699
HadGEM2_CCLM,rcp85,CONSERVATION,w6,2.4543021965773,0.933182434166557,0.613575549144325,0.933182434166557,0.392158696605107
HadGEM2_CCLM,rcp85,CONSERVATION,w7,2.4696226641112,0.903640409693397,0.6174056660278,0.903640409693397,0.394542260134054
HadGEM2_CCLM,rcp85,CONSERVATION,w8,2.5632552254989,0.895281469634634,0.640813806374725,0.895281469634634,0.374139936778868
HadGEM2_CCLM,rcp85,CONSERVATION,w9,2.48285577798684,0.928345982991705,0.62071394449671,0.928345982991705,0.385995090710581
HadGEM2_CCLM,rcp85,UNMANAGED,w5,2.53688874350994,0.893834973320599,0.634222185877485,0.893834973320599,0.380873236384605
HadGEM2_CCLM,rcp85,UNMANAGED,w6,2.4472452391585,0.935700202600445,0.611811309789625,0.935700202600445,0.393477983059879
HadGEM2_CCLM,rcp85,UNMANAGED,w7,2.48030398621438,0.922255195527168,0.620075996553595,0.922255195527168,0.387796986859443
HadGEM2_CCLM,rcp85,UNMANAGED,w8,2.61894836479969,0.894454742141777,0.654737091199923,0.894454742141777,0.361035008897267
HadGEM2_CCLM,rcp85,UNMANAGED,w9,2.50822281054132,0.930442388002213,0.62705570263533,0.930442388002213,0.379375421348909
MPI_CCLM,rcp45,ADAPTATION,w5,2.69869052370103,0.92727296827992,0.674672630925258,0.92727296827992,0.333357343119823
MPI_CCLM,rcp45,ADAPTATION,w6,2.67259030316885,0.934372157496571,0.668147575792213,0.934372157496571,0.338279537016711
MPI_CCLM,rcp45,ADAPTATION,w7,2.6809150396571,0.926553466085966,0.670228759914275,0.926553466085966,0.337851245567724
MPI_CCLM,rcp45,ADAPTATION,w8,2.70816712549504,0.922560194560337,0.67704178137376,0.922560194560337,0.332112833905537
MPI_CCLM,rcp45,ADAPTATION,w9,2.67286448766393,0.934666179863393,0.668216121915982,0.934666179863393,0.338155363420592
MPI_CCLM,rcp45,BAU,w5,2.70621367918075,0.887103236326511,0.676553419795187,0.887103236326511,0.342583375974573
MPI_CCLM,rcp45,BAU,w6,2.65576946391605,0.897756801377574,0.663942365979012,0.897756801377574,0.35126685731553
MPI_CCLM,rcp45,BAU,w7,2.67303918934119,0.893063453874194,0.668259797335298,0.893063453874194,0.348549834258079
MPI_CCLM,rcp45,BAU,w8,2.71109529868119,0.88318885545379,0.677773824670297,0.88318885545379,0.342745607641883
MPI_CCLM,rcp45,BAU,w9,2.65277973018731,0.898573355459316,0.663194932546827,0.898573355459316,0.351745671878018
MPI_CCLM,rcp45,BIOECONOMY,w5,2.6886152040449,0.923971762663939,0.672153801011225,0.923971762663939,0.336546316372377
MPI_CCLM,rcp45,BIOECONOMY,w6,2.65511195174656,0.924815403046628,0.66377798793664,0.924815403046628,0.344525710237966
MPI_CCLM,rcp45,BIOECONOMY,w7,2.67399345063845,0.92477870809006,0.668498362659612,0.92477870809006,0.339928784182743
MPI_CCLM,rcp45,BIOECONOMY,w8,2.69469961416106,0.924577018251368,0.673674903540265,0.924577018251368,0.334927894859938
MPI_CCLM,rcp45,BIOECONOMY,w9,2.65512320840974,0.924255322356735,0.663780802102435,0.924255322356735,0.34464562267083
MPI_CCLM,rcp45,CONSERVATION,w5,2.75548771980457,0.874284569098747,0.688871929951143,0.874284569098747,0.335566752731874
MPI_CCLM,rcp45,CONSERVATION,w6,2.69540665646624,0.894018221891226,0.67385166411656,0.894018221891226,0.342935670776072
MPI_CCLM,rcp45,CONSERVATION,w7,2.68155787351432,0.883112592970632,0.67038946837858,0.883112592970632,0.34972241632158
MPI_CCLM,rcp45,CONSERVATION,w8,2.76712030624168,0.88423290017912,0.69178007656042,0.88423290017912,0.329243895320837
MPI_CCLM,rcp45,CONSERVATION,w9,2.69642539718581,0.898444205839472,0.674106349296453,0.898444205839472,0.341350627502662
MPI_CCLM,rcp45,UNMANAGED,w5,2.90274409552505,0.876760946604504,0.725686023881262,0.876760946604504,0.300725824923449
MPI_CCLM,rcp45,UNMANAGED,w6,2.77272328538995,0.892514932599731,0.693180821347487,0.892514932599731,0.325101596586425
MPI_CCLM,rcp45,UNMANAGED,w7,2.77740968444483,0.882779480730547,0.694352421111208,0.882779480730547,0.327354689317842
