"year","total_carbon_kg","volume_m3","TC_49","VOL_49","Perc_Diff_TC","Perc_Diff_VOL","recovery_year_total_carbon","recovery_year_volume","year_after_impact","model","mgm","rcp","windcase"
77,154057.364997263,371.740919646917,140020.295710298,350.32466427836,10.0250247407046,6.11325937118144,74,75,28,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
78,154784.200518555,371.488477798203,140020.295710298,350.32466427836,10.5441177176224,6.04119997187163,74,75,29,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
79,157570.44561247,379.709839605925,140020.295710298,350.32466427836,12.5340043121197,8.38798358319874,74,75,30,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
80,162124.009880931,391.792773587274,140020.295710298,350.32466427836,15.7860787670135,11.837051037881,74,75,31,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
81,162889.114365456,391.36752381458,140020.295710298,350.32466427836,16.3325027555103,11.7156637032009,74,75,32,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
82,167212.640306366,404.810903420502,140020.295710298,350.32466427836,19.4202879362065,15.5530696802007,74,75,33,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
83,167827.266276321,404.180918257486,140020.295710298,350.32466427836,19.859242851162,15.3732407308704,74,75,34,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
84,170066.805624437,411.675478007678,140020.295710298,350.32466427836,21.4586819444415,17.5125590588079,74,75,35,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
85,174623.651091346,422.149501607585,140020.295710298,350.32466427836,24.7130997727945,20.5023638507378,74,75,36,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
86,175187.207698424,422.218396172995,140020.295710298,350.32466427836,25.1155818588517,20.5220297699364,74,75,37,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
87,171156.739812752,410.261043191008,140020.295710298,350.32466427836,22.2370935188389,17.1088093486401,74,75,38,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
88,173951.997157704,417.670050771677,140020.295710298,350.32466427836,24.2334165024262,19.2237068526258,74,75,39,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
89,173665.804447477,415.910635897719,140020.295710298,350.32466427836,24.0290227688071,18.7214827578472,74,75,40,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
90,171219.594630472,408.724001423465,140020.295710298,350.32466427836,22.2819833095663,16.6700615457387,74,75,41,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
91,167247.825193915,398.074726644263,140020.295710298,350.32466427836,19.4454163558905,13.6302313924326,74,75,42,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
92,167459.2689339,398.291405825042,140020.295710298,350.32466427836,19.5964257070086,13.692082356088,74,75,43,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
93,167013.803638564,396.343106950254,140020.295710298,350.32466427836,19.2782823313809,13.1359414178527,74,75,44,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
94,169456.497151695,403.710138110989,140020.295710298,350.32466427836,21.0228105090568,15.2388567737869,74,75,45,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
95,173256.212097396,413.635931095411,140020.295710298,350.32466427836,23.7364992114162,18.0721694110424,74,75,46,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
96,174824.997279982,416.15756682213,140020.295710298,350.32466427836,24.8568976326797,18.7919690665743,74,75,47,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
97,166971.639195246,394.572343328966,140020.295710298,350.32466427836,19.248169237344,12.6304778288314,74,75,48,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
98,168925.705583724,399.477662014676,140020.295710298,350.32466427836,20.6437286300486,14.0306985914245,74,75,49,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
99,168990.153432736,399.404986437445,140020.295710298,350.32466427836,20.6897561353363,14.0099533842948,74,75,50,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
100,168479.20361785,396.455791369081,140020.295710298,350.32466427836,20.3248448827974,13.1681071287823,74,75,51,"EC-EARTH_RACMO22E-r1","CONSERVATION","rcp85","w6"
49,104534.937259042,247.297188351638,104534.937259042,247.297188351638,0,0,69,81,0,"HadGEM2_CCLM","CONSERVATION","rcp45","w6"
50,68528.6102918862,157.735020042938,104534.937259042,247.297188351638,-34.4442995913708,-36.2164118830778,69,81,1,"HadGEM2_CCLM","CONSERVATION","rcp45","w6"
51,69478.2073639921,160.001405046574,104534.937259042,247.297188351638,-33.5358979631642,-35.2999497838753,69,81,2,"HadGEM2_CCLM","CONSERVATION","rcp45","w6"
