"","rcp","model","mgm","windcase","name","value","minfornorm","max","value.normalized1"
"452","rcp45","EC-EARTH_RACMO22E-r1","BAU","w9","annual.harvest",7.72268916587959,0,9.16575488718929,0.842558988422586
"453","rcp45","EC-EARTH_RACMO22E-r1","BAU","w9","standing.volume",280.529611225539,0,483.94324804852,0.579674605145877
"454","rcp45","EC-EARTH_RACMO22E-r1","BAU","w9","LAI",3.31221286314847,0,4.68851564070693,0.706452343763336
"455","rcp45","EC-EARTH_RACMO22E-r1","BAU","w9","annual.increment",13.457849067282,0,14.5910502388423,0.92233587349705
"456","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w5","nat.mortality.volperha",3.20902766872203,0,5.61844159386771,0.571159745119456
"457","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w5","impact",0.874188769065152,0,4.92439027259723,0.177522235378003
"458","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w5","NEP",385.409066351434,-388.953367502547,1217.44739498192,0.482048099041207
"459","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w5","standing.volume.decidious",61.8015966209074,0,128.822861263404,0.479740909453499
"460","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w5","BA.decidious",6.90827045500931,0,12.4483497074567,0.554954722301157
"461","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w5","deadwood.c.ag",14838.8801146476,0,37854.244296677,0.392000431929114
"462","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w5","carbonstock",285897.944843445,0,387627.943172939,0.737557624208462
"463","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w5","shannon_BA_landscape",1.67347964285449,0,2.12717269598936,0.786715458509655
"464","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w5","shannon_VOL_landscape",1.58750504040983,0,2.0661929449391,0.768323715506936
"465","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w5","annual.harvest",7.25117462487014,0,9.16575488718929,0.791115921614367
"466","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w5","standing.volume",275.334302440987,0,483.94324804852,0.56893923729954
"467","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w5","LAI",3.56487136619837,0,4.68851564070693,0.760341148325755
"468","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w5","annual.increment",13.2481394480508,0,14.5910502388423,0.907963390653221
"469","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w6","nat.mortality.volperha",3.15985972423555,0,5.61844159386771,0.56240857388006
"470","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w6","impact",1.2243202288822,0,4.92439027259723,0.248623720117225
"471","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w6","NEP",316.444692868943,-388.953367502547,1217.44739498192,0.439117110029579
"472","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w6","standing.volume.decidious",62.3092180626,0,128.822861263404,0.483681370305822
"473","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w6","BA.decidious",6.94741863390383,0,12.4483497074567,0.558099571201977
"474","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w6","deadwood.c.ag",14913.2550922276,0,37854.244296677,0.393965204412674
"475","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w6","carbonstock",285332.590147891,0,387627.943172939,0.73609912591
